Mfg/Vendor Name,Mfg/Vendor Part Number,Detailed Item Description
Radnor,64054965,"JCKT 9OZ 3X 30"" GRN SNPS FR"
Radnor,64054972,CAPE SLV 9OZ LG GRN SNPS FR CTTN
Radnor,64054973,CAPE SLV 9OZ XL GRN SNPS FR CTTN
Radnor,64054974,CAPE SLV 9OZ 2X GRN SNPS FR CTTN
Radnor,64054975,CAPE SLV 9OZ 3X GRN SNPS FR CTTN
Radnor,64056368,GLV ECON LG 13GA NYLN SMLS BLK
Radnor,64056369,GLV ECON XL 13GA NYLN SMLS BLK PU
Safety Director,290030,Comfort Plus Earplugs w/o Cord
Safety Director,290040,Comfort Plus Earplugs w/cord
US Safety,483000,DOUBLE CROWN SHIELD LESS VISOR
Uvex,S8500,FCSHD HDGR PLYCRB MTE BLK/CLEAR BIONIC
Uvex,S8555,VSR REPL FCSHD PLYCRB CLR A/FG HRDCT
Weldas,20-3400V,SWTBND WLDG SWEATSOPAD X WD BLK 2/PK
West Chester,6010/L,"6010/L, LARGE WELDING GLOVES,"
West Chester,6010/M,"6010/M, MEDIUM WELDING, GLOVES"
West Chester,6010/XL,"6010/XL, XTRA LARGE WELDING, GLOVES"
West Chester,6141/2XL,"6141 TOP GRAIN KIDSKIN, 6141/2XL 6/PKG TIG, WESTCHESTER GLOVES"
West Chester,68-163XXL,"N13809, COWHIDE DRIVER,"
West Chester,7050/2XL,"7050/2X, 30"" FLAME RETARDANT, JACKET"
West Chester,7050/3X,"7050/3x, 30"" FLAME RETARDANT, JACKET"
West Chester,7050/L,"7050/L, 30"" FLAME RETARDANT, JACKET"
West Chester,7050/M,"7050/M, 30"" FLAME RETARDANT, JACKET"
West Chester,7050/XL,"7050/XL, FLAME RETARDANT, JACKET"
West Chester,7051/3X,"7051/3X, FLAME RETARDANT, CAPE SLEEVE"
West Chester,7051/L,"7051/L, FLAME RETARDANT, CAPE SLEEVE"
West Chester,7071/23,"7071/23, 23""FLAME RETARDANT, SLEEVES"
West Chester,9011/L,"9011/L, HEAVY DUTY WELDING, GLOVES"
Xpect,100039,Triple Antibiotic Small
Xpect,12221,Liquid Bandage
Xpect,130000,Thera Tears
Xpect,13046,Eyewash 1 oz. bottles
Xpect,150110,"Metal Tweezers, 3 pack"
